distribution k Trace stats.attr ratio
combined 14 gwa-t3 bot_user_iat 0.988095238095238
exponential 14 gwa-t3 bot_user_iat 0
gamma 14 gwa-t3 bot_user_iat 0.988095238095238
lognormal 14 gwa-t3 bot_user_iat 0.988095238095238
normal 14 gwa-t3 bot_user_iat 0.988095238095238
weibull 14 gwa-t3 bot_user_iat 0.928571428571429
combined 15 gwa-t3 bot_user_iat 0.988095238095238
exponential 15 gwa-t3 bot_user_iat 0
gamma 15 gwa-t3 bot_user_iat 0.988095238095238
lognormal 15 gwa-t3 bot_user_iat 0.988095238095238
normal 15 gwa-t3 bot_user_iat 0.988095238095238
weibull 15 gwa-t3 bot_user_iat 0.928571428571429
combined 16 gwa-t3 bot_user_iat 0.988095238095238
exponential 16 gwa-t3 bot_user_iat 0
gamma 16 gwa-t3 bot_user_iat 0.988095238095238
lognormal 16 gwa-t3 bot_user_iat 0.988095238095238
normal 16 gwa-t3 bot_user_iat 0.988095238095238
weibull 16 gwa-t3 bot_user_iat 0.928571428571429
combined 17 gwa-t3 bot_user_iat 0.988095238095238
exponential 17 gwa-t3 bot_user_iat 0
gamma 17 gwa-t3 bot_user_iat 0.988095238095238
lognormal 17 gwa-t3 bot_user_iat 0.988095238095238
normal 17 gwa-t3 bot_user_iat 0.988095238095238
weibull 17 gwa-t3 bot_user_iat 0.928571428571429
combined 18 gwa-t3 bot_user_iat 0.988095238095238
exponential 18 gwa-t3 bot_user_iat 0
gamma 18 gwa-t3 bot_user_iat 0.988095238095238
lognormal 18 gwa-t3 bot_user_iat 0.988095238095238
normal 18 gwa-t3 bot_user_iat 0.988095238095238
weibull 18 gwa-t3 bot_user_iat 0.928571428571429
combined 19 gwa-t3 bot_user_iat 0.988095238095238
exponential 19 gwa-t3 bot_user_iat 0
gamma 19 gwa-t3 bot_user_iat 0.988095238095238
lognormal 19 gwa-t3 bot_user_iat 0.988095238095238
normal 19 gwa-t3 bot_user_iat 0.988095238095238
weibull 19 gwa-t3 bot_user_iat 0.928571428571429
combined 20 gwa-t3 bot_user_iat 0.988095238095238
exponential 20 gwa-t3 bot_user_iat 0
gamma 20 gwa-t3 bot_user_iat 0.988095238095238
lognormal 20 gwa-t3 bot_user_iat 0.988095238095238
normal 20 gwa-t3 bot_user_iat 0.988095238095238
weibull 20 gwa-t3 bot_user_iat 0.94047619047619
combined 1 gwa-t4 bot_user_iat 0.47239263803681
exponential 1 gwa-t4 bot_user_iat 0
gamma 1 gwa-t4 bot_user_iat 0.441717791411043
lognormal 1 gwa-t4 bot_user_iat 0.47239263803681
normal 1 gwa-t4 bot_user_iat 0.404907975460123
weibull 1 gwa-t4 bot_user_iat 0.380368098159509
combined 2 gwa-t4 bot_user_iat 0.656441717791411
exponential 2 gwa-t4 bot_user_iat 0
gamma 2 gwa-t4 bot_user_iat 0.650306748466258
lognormal 2 gwa-t4 bot_user_iat 0.656441717791411
normal 2 gwa-t4 bot_user_iat 0.613496932515337
weibull 2 gwa-t4 bot_user_iat 0.588957055214724
combined 3 gwa-t4 bot_user_iat 0.662576687116564
exponential 3 gwa-t4 bot_user_iat 0
gamma 3 gwa-t4 bot_user_iat 0.656441717791411
lognormal 3 gwa-t4 bot_user_iat 0.656441717791411
normal 3 gwa-t4 bot_user_iat 0.607361963190184
weibull 3 gwa-t4 bot_user_iat 0.588957055214724
combined 4 gwa-t4 bot_user_iat 0.687116564417178
exponential 4 gwa-t4 bot_user_iat 0
gamma 4 gwa-t4 bot_user_iat 0.668711656441718
lognormal 4 gwa-t4 bot_user_iat 0.674846625766871
normal 4 gwa-t4 bot_user_iat 0.625766871165644
weibull 4 gwa-t4 bot_user_iat 0.601226993865031
combined 5 gwa-t4 bot_user_iat 0.699386503067485
exponential 5 gwa-t4 bot_user_iat 0
gamma 5 gwa-t4 bot_user_iat 0.674846625766871
lognormal 5 gwa-t4 bot_user_iat 0.687116564417178
normal 5 gwa-t4 bot_user_iat 0.631901840490798
weibull 5 gwa-t4 bot_user_iat 0.625766871165644
combined 6 gwa-t4 bot_user_iat 0.773006134969325
exponential 6 gwa-t4 bot_user_iat 0
gamma 6 gwa-t4 bot_user_iat 0.736196319018405
lognormal 6 gwa-t4 bot_user_iat 0.766871165644172
normal 6 gwa-t4 bot_user_iat 0.699386503067485
weibull 6 gwa-t4 bot_user_iat 0.717791411042945
combined 7 gwa-t4 bot_user_iat 0.834355828220859
exponential 7 gwa-t4 bot_user_iat 0
gamma 7 gwa-t4 bot_user_iat 0.809815950920245
lognormal 7 gwa-t4 bot_user_iat 0.809815950920245
normal 7 gwa-t4 bot_user_iat 0.779141104294479
weibull 7 gwa-t4 bot_user_iat 0.791411042944785
combined 8 gwa-t4 bot_user_iat 0.834355828220859
