U0 U1 U10 U100 U104 U105 U106 U107 U109 U11 U110 U114 U12 U120 U123 U125 U128 U132 U133 U135 U136 U138 U14 U140 U142 U143 U144 U145 U16 U161 U162 U17 U174 U176 U199 U20 U200 U203 U204 U207 U209 U21 U213 U215 U216 U218 U220 U228 U24 U259 U26 U28 U283 U286 U29 U293 U3 U31 U318 U319 U32 U321 U36 U365 U37 U39 U4 U42 U44 U55 U58 U66 U7 U70 U71 U72 U73 U74 U75 U8 U87 U89 U9 U92
U110 0.475193814140842 0.89512987012987 0.461487194135009 0.927024913794558 0.906931568356035 0.744129852704572 0.96185531149516 0.545671733541969 0.940140845070423 0.527086691937897 0 0.894075403949731 0.884794820527468 0.639009544071152 0.843940933819573 0.784313725490196 0.623846248010772 0.743497776145591 0.477985510633326 0.517951205316001 0.864590412591476 0.49222793487575 0.526302008949824 0.761904761904762 0.821205917214414 0.963143591626882 0.914388860237236 0.419915009705682 0.75616619189884 0.655086963570254 0.666097398745214 0.776813499043238 0.821292775665399 0.542857142857143 0.415190897838713 0.924385023286831 0.761217658876804 0.991345397324941 0.906455485453487 0.832606268338916 1 0.478827258820004 0.687974864324479 0.715786831468065 0.855071057864869 0.704798628963153 0.756654706752998 0.682555183754362 0.547493169067598 0.945378169475067 0.842332863909548 0.605927718130954 0.636171177982761 0.73843777269404 0.414349146996962 0.984555984555984 0.951240654458771 0.52388774362049 0.536679836441745 0.916720644495273 0.695817678465493 0.788329450514139 0.841887417218543 0.776522919615262 0.426087144369316 0.519140906961136 0.5134590666403 0.447153874403232 0.8083933890884 0.752969314373109 0.892156862745098 0.438662043402882 0.929090909090909 0.826145471041887 0.949660871712198 0.963636363636364 0.93811961122794 0.912568306010929 0.574320958131564 0.650809495159438 0.869905150252637 0.992307692307692 0.356302008949824 0.901628208024718
U114 0.620280184905074 0.161934878407051 0.672079260589135 0.24510408605023 0.51929778954808 0.300902641584536 0.409276475223824 0.714386074467255 0.384019331428427 0.749544404886279 0.894075403949731 0 0.471440920273954 0.63407210218948 0.151993653709657 0.151811173302355 0.310934427631017 0.418318087258841 0.796556226538273 0.614816571254361 0.0816085075355799 0.600969479353681 0.78296429283862 0.298634265196204 0.321858975048109 0.189402410874583 0.101654316621035 0.646445190027794 0.607412619082278 0.329119963769874 0.812896259933962 0.443528030129183 0.153101555726973 0.374634521672224 0.746209854378616 0.273015682238732 0.593620708894875 0.274550213504683 0.169638908913503 0.243920352537947 0.230340355581816 0.575982200878942 0.409799521244764 0.198907084005827 0.248230073506995 0.475822860562537 0.169010839197765 0.519412655587094 0.513295620067071 0.343913581854127 0.144708700977263 0.674780863871581 0.821960381998401 0.67516429759689 0.550361106577444 0.240653066505849 0.27974558379225 0.554373325838443 0.513687901389274 0.187746504756923 0.889846015743682 0.227467179084381 0.29154975210149 0.480846428499385 0.698580329797987 0.65457986574807 0.546730423974589 0.529999145079935 0.224474212039246 0.358498284207895 0.205712207085108 0.669731952736838 0.294567216147108 0.448188826697645 0.204546146121778 0.343794446128378 0.10771063520731 0.286617908192797 0.760497126076851 0.589088582451583 0.303770197486535 0.844096119320536 0.658205997739211 0.280683761412726
U12 0.59970836978711 0.420382395382395 0.659259259259259 0.378166788232434 0.753544494720965 0.28011290736464 0.733113311331133 0.7085346215781 0.517168753260303 0.612303829252982 0.884794820527468 0.471440920273954 0 0.316602809706258 0.430146425495263 0.405010893246187 0.329100529100529 0.178835978835979 0.678114478114478 0.469881201956674 0.450319284802043 0.487037037037037 0.755555555555556 0.23531746031746 0.239787092481703 0.474603174603175 0.512226615475713 0.558103876471223 0.191691691691692 0.477977977977978 0.814037814037814 0.447619047619048 0.425151387128573 0.368783068783069 0.698148148148148 0.272121493878816 0.1895117196786 0.660162601626016 0.356072286986818 0.301346801346801 0.680450070323488 0.483980913428766 0.22962962962963 0.303030303030303 0.262473794549266 0.260740740740741 0.335828877005348 0.231491827022553 0.357651991614256 0.284167135094622 0.394626995804043 0.319825708061002 0.816682228446934 0.360941216445804 0.50993265993266 0.339110539110539 0.541694256831325 0.370015382794936 0.414466815809098 0.450699912510936 0.877065527065527 0.267534722222222 0.240844984056905 0.172326258843113 0.6525988173047 0.647619047619048 0.42514245014245 0.452910052910053 0.320268851081706 0.182372245663385 0.626361655773421 0.647889750215332 0.551043771043771 0.403921568627451 0.537350910232266 0.538239538239538 0.460738381224147 0.654189435336976 0.747631352282515 0.566509062253743 0.396168582375479 0.856125356125356 0.641481481481481 0.370599102665611
U120 0.387908408000724 0.574895506792058 0.405747126436782 0.5305465429211 0.863889322307172 0.432613947068036 0.86246728121088 0.473200899550225 0.631860126274891 0.340216897201117 0.639009544071152 0.63407210218948 0.316602809706258 0 0.585191125367549 0.570655848546315 0.452873563218391 0.338423645320197 0.417241379310345 0.183994795055303 0.616858237547893 0.219080459770115 0.478927203065134 0.375205254515599 0.406015555096703 0.639540229885057 0.676483315845945 0.275828558024195 0.253650201926064 0.598633115874495 0.573064866168314 0.605090311986864 0.584852060661684 0.361001642036125 0.398148148148148 0.43663732987063 0.201189406952907 0.822354558362046 0.51526691301815 0.444792755137583 0.830641641204714 0.211762217050984 0.248563218390805 0.46360153256705 0.400780741704619 0.208045977011494 0.496281271129141 0.274674115456238 0.222728258512253 0.437731387257467 0.547270749127643 0.129614604462475 0.565343378730803 0.160102288305389 0.240987460815047 0.549993343096791 0.70629064057201 0.178362895229701 0.176695209442259 0.60632183908046 0.639588859416446 0.419764727011494 0.453233234376189 0.194433682035387 0.384043272481406 0.430213464696223 0.143567639257294 0.248275862068966 0.474317189231471 0.350720209515495 0.793666892044174 0.393344025661588 0.715621734587252 0.567275185936444 0.699006428988895 0.695670995670996 0.614900194736396 0.786555492745431 0.499866345896819 0.278796771826853 0.517241379310345 0.957824933687003 0.37463601532567 0.521978322002894
U123 0.587035341512543 0.0800135910601027 0.641688199827735 0.229596458195512 0.458970851310113 0.189397926848918 0.430777496354287 0.649342770475227 0.276498526039961 0.739736346516008 0.843940933819573 0.151993653709657 0.430146425495263 0.585191125367549 0 0.148730810153519 0.261351052048726 0.307087486157254 0.777801268498943 0.536024572180781 0.149639133921411 0.578139534883721 0.753789836347976 0.255287929125138 0.284194401893887 0.146910299003322 0.179411588327716 0.633751440775646 0.563125916614289 0.20990990990991 0.781395348837209 0.359713236579822 0.202617384384119 0.309302325581395 0.712144702842377 0.180733677143135 0.539501563452481 0.339809342579547 0.151425054692699 0.233944092083627 0.265979786085762 0.540647738621772 0.354198966408269 0.213640278756558 0.19426649115109 0.409612403100775 0.121941715375368 0.405534623879434 0.395729120959485 0.271893015412369 0.105484904821105 0.641997264021888 0.759624780144616 0.645690206955409 0.527801268498943 0.183083415641555 0.198336890539679 0.508611338138049 0.497455907601061 0.0844167734847098 0.836896243291592 0.211646075581395 0.24902202371785 0.444499608048079 0.680398671096345 0.626761370145492 0.509704830053667 0.495238095238095 0.142629797335912 0.262054754194878 0.304742362061104 0.659302325581395 0.22461592670895 0.354582763337893 0.215530153724872 0.273150105708245 0.103645093037145 0.351270809505655 0.724031007751938 0.551979218208807 0.214434643143544 0.744186046511628 0.62473729543497 0.268071590344142
U125 0.521949462199578 0.16013496307614 0.601960784313725 0.220849244146966 0.575414781297134 0.241467795740313 0.500873616773442 0.593066211992043 0.333724569640063 0.696687714633876 0.784313725490196 0.151811173302355 0.405010893246187 0.570655848546315 0.148730810153519 0 0.253501400560224 0.377777777777778 0.719251336898396 0.558749537550869 0.0986026594545865 0.55202614379085 0.693355119825708 0.231792717086835 0.25505851043012 0.206013071895425 0.136263891838324 0.581832733093237 0.537184243066596 0.32688570923865 0.741830065359477 0.385891198584697 0.10522130271627 0.26624649859944 0.654139433551198 0.218926901304455 0.53358641895617 0.340460653183382 0.14884102135337 0.18270944741533 0.279142880781004 0.522635229961105 0.351797385620915 0.144880174291939 0.188432605746701 0.416993464052288 0.131610219845514 0.471756672873991 0.448822296214083 0.324526887764662 0.137341449576397 0.627450980392157 0.703081232492997 0.628357918090784 0.492090017825312 0.206185176773412 0.284294604178219 0.493923447973439 0.463569767951923 0.181256754670372 0.774698340874811 0.17593443627451 0.264164827078734 0.419989718733935 0.643323996265173 0.567709842557713 0.50267094017094 0.475910364145658 0.155917565513918 0.303880201869777 0.274509803921569 0.606285149718802 0.304670231729055 0.437908496732026 0.258834607289243 0.329411764705882 0.166512473992185 0.365021965070181 0.675710594315245 0.500417188151856 0.274239350912779 0.839819004524887 0.570893246187364 0.225975346591527
U128 0.368203974503187 0.31017316017316 0.466666666666667 0.348129623840784 0.501314371902607 0.177719124601342 0.456294200848656 0.448033126293996 0.354468477531858 0.516491794457896 0.623846248010772 0.310934427631017 0.329100529100529 0.452873563218391 0.261351052048726 0.253501400560224 0 0.306349206349206 0.535930735930736 0.446540880503145 0.273563218390805 0.423333333333333 0.507407407407407 0.279761904761905 0.309096093527231 0.365714285714286 0.326181880694516 0.440038872691934 0.447747747747748 0.321750321750322 0.556576756576757 0.335839598997494 0.293499909469491 0.266666666666667 0.47037037037037 0.33213787607093 0.431465761177136 0.432752613240418 0.329895713662312 0.254689754689755 0.452923447860157 0.410633946830266 0.314285714285714 0.313612313612314 0.248876909254268 0.314285714285714 0.18130888719124 0.404575685022612 0.344654088050314 0.367461655825905 0.257852822345221 0.486274509803922 0.549579831932773 0.495489296636086 0.386958874458874 0.395624195624196 0.359538514723259 0.386368477103301 0.342058165548098 0.323228346456693 0.618406593406593 0.212983630952381 0.294859665720593 0.308614232209738 0.491316526610644 0.412807881773399 0.3996336996337 0.352380952380952 0.21649113331533 0.267028330319469 0.355555555555556 0.428682170542636 0.341125541125541 0.363305322128851 0.354802259887006 0.378354978354978 0.345450925741589 0.382943013270882 0.504097452934662 0.37710233029382 0.277504105090312 0.85018315018315 0.386666666666667 0.316225540097274
U132 0.485664291963505 0.320743145743146 0.497354497354497 0.260546698621097 0.751957193133664 0.151904395322409 0.714269998428414 0.578140096618357 0.38589593114241 0.513317191283293 0.743497776145591 0.418318087258841 0.178835978835979 0.338423645320197 0.307087486157254 0.377777777777778 0.306349206349206 0 0.567243867243867 0.299281221922731 0.417624521072797 0.323015873015873 0.6005291005291 0.182539682539683 0.159642619522859 0.428888888888889 0.445487364620939 0.413637836086816 0.308193908193908 0.467395967395967 0.679442779442779 0.274603174603175 0.350666908081357 0.284126984126984 0.528835978835979 0.219007770472206 0.289724310776942 0.640132129431893 0.277689017131695 0.286002886002886 0.507434197307615 0.313925406563443 0.113095238095238 0.262481962481962 0.246361185983827 0.153968253968254 0.303675409557763 0.179772989270196 0.224049116501947 0.247228244867368 0.303910257907315 0.400653594771242 0.667040149393091 0.39829255861366 0.361075036075036 0.354954954954955 0.482187789696729 0.26094122420001 0.27644614892937 0.339182602174728 0.764438339438339 0.234933035714286 0.254533270261747 0.191136079900125 0.484407096171802 0.540613026819923 0.251159951159951 0.347619047619048 0.244912533381342 0.103335342575849 0.592063492063492 0.482927279438907 0.50989898989899 0.235480859010271 0.48861985472155 0.407359307359307 0.342993973752485 0.640307051782462 0.611701734957549 0.392434988179669 0.29047619047619 0.836141636141636 0.474285714285714 0.25547072352298
U133 0.207921737055595 0.810714285714286 0.161952861952862 0.803560771832107 0.882311805841218 0.656623976485408 0.929012901290129 0.144861660079051 0.873559539052497 0.302550933059408 0.477985510633326 0.796556226538273 0.678114478114478 0.417241379310345 0.777801268498943 0.719251336898396 0.535930735930736 0.567243867243867 0 0.28885077186964 0.79362591431557 0.264545454545454 0.167171717171717 0.67478354978355 0.717909635274905 0.85974025974026 0.842632097144733 0.167479459316194 0.643488943488943 0.617035217035217 0.244755244755245 0.696103896103896 0.753024541997926 0.475974025974026 0.203367003367003 0.760529986052999 0.576450747066507 0.947550246763465 0.796325892174031 0.615151515151515 0.968507863444572 0.277189068600111 0.481818181818182 0.621212121212121 0.737907375643225 0.462424242424242 0.667557932263815 0.552310817673946 0.451400800457404 0.788701517706577 0.756899549690133 0.412299465240642 0.228189457601222 0.492514595496247 0.272727272727273 0.915935415935416 0.87858922960234 0.406505954109788 0.353020134228188 0.821438797423049 0.287237762237762 0.575639204545454 0.780704394942806 0.546680286006129 0.18051948051948 0.171294223018361 0.339685314685315 0.306926406926407 0.67099157930916 0.621365554276947 0.870707070707071 0.172198731501057 0.861818181818182 0.689839572192513 0.832203389830508 0.894805194805195 0.848632653430583 0.860283159463487 0.148484848484848 0.413152804642166 0.782131661442006 0.983216783216783 0.163434343434343 0.786536385229972
U135 0.331817956717674 0.534525851506984 0.310412299091544 0.530894678171834 0.822726884658072 0.382787921042311 0.84202005106171 0.370959803117309 0.632856098857295 0.232228262800696 0.517951205316001 0.614816571254361 0.469881201956674 0.183994795055303 0.536024572180781 0.558749537550869 0.446540880503145 0.299281221922731 0.28885077186964 0 0.591541964866623 0.0766037735849057 0.34622641509434 0.429088050314465 0.435295446842165 0.628517520215633 0.651405606858233 0.141272897299081 0.372819989801122 0.558201597824239 0.49652988520913 0.536927223719677 0.548475500394576 0.360242587601078 0.250489168413697 0.509428699244757 0.312667347450615 0.797244778290753 0.524126736558324 0.434686487516676 0.765146087094977 0.16951035999537 0.27437106918239 0.43805349088368 0.451572327044025 0.235471698113208 0.458359398647967 0.276715505428481 0.192452830188679 0.528938241751249 0.499062618560708 0.16015538290788 0.477406056762328 0.266089665916566 0.131582332761578 0.637298754279886 0.681602904707679 0.14467418168666 0.133848296821578 0.567062843559649 0.518831640058055 0.405660377358491 0.514338373110084 0.35062539749841 0.211542730299667 0.363249372618273 0.0787373004354136 0.165858041329739 0.43136569533117 0.352806305230475 0.774941423110125 0.239425186485301 0.696266437964551 0.499112097669256 0.670248374373734 0.642979661847586 0.576780770718844 0.769764924218992 0.405675003656574 0.162043356081895 0.535849056603774 0.916835994194485 0.229657582110412 0.517055079998207
