U0 U1 U10 U100 U104 U105 U106 U107 U109 U11 U110 U114 U12 U120 U123 U125 U128 U132 U133 U135 U136 U138 U14 U140 U142 U143 U144 U145 U16 U161 U162 U17 U174 U176 U199 U20 U200 U203 U204 U207 U209 U21 U213 U215 U216 U218 U220 U228 U24 U259 U26 U28 U283 U286 U29 U293 U3 U31 U318 U319 U32 U321 U36 U365 U37 U39 U4 U42 U44 U55 U58 U66 U7 U70 U71 U72 U73 U74 U75 U8 U87 U89 U9 U92
U110 0.242430819316332 0.337391139846583 0.262309586090168 0.237068185928739 0.317994376757263 0.0511407025582283 0.367071755308254 0.244591853980057 0.106185567010309 0.141371202036593 0 0.430560706074316 0.320010770887829 0.391395030093558 0.32558531650448 0.435719114416089 0.467089611419508 0.324922557487749 0.121086730350894 0.304279912527335 0.140800951625694 0.333387925387029 0.314962905867617 0.345777517130687 0.280958887094771 0.600456384958497 0.236054812592427 0.170932055223971 0.112329150534123 0.132049727107338 0.175475533614055 0.145657606997813 0.44211851735264 0.166932433434695 0.225407071972252 0.187395611357484 0.17216213077773 0.0522769705333225 0.216660688596542 0.477759171071223 0.168879958063952 0.422107674684994 0.303484765815697 0.357585678461967 0.234960198355735 0.390749325399571 0.312555228276878 0.131935595968956 0.288007307842881 0.104712315408192 0.357587284886133 0.242039285060697 0.0963218591647737 0.122930154935079 0.222488954344624 0.0811855670103093 0.25675108030691 0.328542162305049 0.291757784025825 0.171562048841985 0.234686217595836 0.313796240145543 0.161617369468479 0.408337701671617 0.489428621352438 0.276487700316423 0.410192240649435 0.416137985725615 0.256814276788504 0.212560754996622 0.239192158188271 0.496563573883162 0.0857968519045134 0.17153663148905 0.27788191190253 0.733489046391753 0.162811464607274 0.282602563921757 0.37475837628866 0.519157616186118 0.219286941580756 0.667106209542076 0.190882253969225 0.300022664485976
U114 0.24568345323741 0.27231290641407 0.229840008590143 0.271551180108545 0.140712884238064 0.468725019984013 0.162918671685168 0.239513307386877 0.511908534846132 0.382135761701666 0.430560706074316 0 0.179990336089337 0.212386160435813 0.153566866133262 0.0790954121948343 0.190370780298838 0.176656449085565 0.375849778892482 0.152877697841727 0.316906474820144 0.208879718967301 0.190126403550057 0.135624434584069 0.167764583513912 0.224768609181423 0.200924709149089 0.404571079978123 0.37803151144243 0.360029623360135 0.571233154321613 0.321342925659472 0.145230380581031 0.327338129496403 0.358434747529079 0.284906153289659 0.583223896284662 0.454452500991333 0.564774443071805 0.0802870394040098 0.295573710523107 0.148436806110667 0.153874671850263 0.119847365350962 0.227961934250068 0.106223745835546 0.203905447070915 0.453095950206127 0.240825061469811 0.331931751895781 0.214168214005832 0.345185390149419 0.355993171564443 0.483494949161222 0.254994861253854 0.453914188237039 0.437687301394255 0.154584025087622 0.148935397136836 0.330442155151618 0.278183278619823 0.166899421639159 0.545601795282912 0.138123399585416 0.256005365199366 0.272615570909609 0.168465227817746 0.220669618151633 0.408995530848049 0.232569546899478 0.532126430003538 0.171873027893475 0.43576045498854 0.343440040866715 0.46979234793983 0.338466726618705 0.369318165539253 0.18134712476257 0.143322841726619 0.202794983264725 0.237759792166267 0.32319725614857 0.277997779817689 0.229412192171397
U12 0.120659858601728 0.180042463874198 0.126865671641791 0.143034825870647 0.105970149253731 0.344423714759536 0.207373727389542 0.10068509909469 0.401111184167269 0.249616666901121 0.320010770887829 0.179990336089337 0 0.149900785091882 0.103291951457665 0.227330560313188 0.248421354764638 0.122653821512469 0.256949198959332 0.110018091361375 0.186854190585534 0.137972345629711 0.179662435486121 0.123603539190276 0.0650062938320446 0.329683958431339 0.134890562666543 0.276075761543161 0.246775173904235 0.24295941108935 0.461109943241539 0.211216644052465 0.261364931069842 0.178406528508536 0.214186078951039 0.175727507712832 0.475222446653596 0.34395346104125 0.458691391527212 0.207099022653231 0.175499620541361 0.183066150727842 0.108780609487382 0.114108511496571 0.12299263177782 0.158319142542322 0.150346481876333 0.340600368941808 0.128754959380314 0.218485276321097 0.148704465894277 0.21058906650181 0.237667594232229 0.366819747416762 0.131130063965885 0.347072626557932 0.310893516811262 0.0954841178721776 0.0889743203176039 0.200727133562954 0.161643240110129 0.10787240269242 0.424699204886916 0.127751075132811 0.323551732861118 0.118737993202305 0.204520873891412 0.223593570608496 0.313093622795115 0.133918147108012 0.405725471005628 0.281050885921271 0.294166481928038 0.19283758721187 0.367028493894166 0.480527052238806 0.224240208753128 0.0835392122833166 0.189132462686567 0.337736451432676 0.108312603648425 0.490743954645378 0.150205943575889 0.178984755367547
U120 0.190447216306663 0.114366011035037 0.198472953153309 0.170114592840483 0.135286389910667 0.399633376150717 0.242238640278682 0.170946650241637 0.473097196404472 0.308848125609497 0.391395030093558 0.212386160435813 0.149900785091882 0 0.144589703419588 0.249976310054013 0.288072476656292 0.0792431329663564 0.299146205653073 0.144377299001576 0.262916851934193 0.0873431670114254 0.211495867322133 0.150150565920183 0.149035448150985 0.323119731023403 0.173419352529573 0.305225974377176 0.370099129024665 0.296210080297126 0.556053081494749 0.304081275179541 0.301504655164806 0.243356759678962 0.249473286154179 0.246706171085349 0.548898842494406 0.416763005780347 0.555520955649408 0.207446964584373 0.286102674635054 0.198922429172911 0.103949635306809 0.14806280268708 0.213763078949294 0.153198587888428 0.0895540875309662 0.413229849970773 0.110265603277969 0.3106448211217 0.08110354138422 0.245989670622841 0.31306946213383 0.397549823138642 0.198084227910818 0.436498122877063 0.346609715091792 0.0905587668593449 0.131858079834958 0.23958226448222 0.250743588304619 0.0874532471948317 0.536149915473802 0.1376179745926 0.359704124620359 0.162307560235792 0.0721286755466198 0.259393063583815 0.411521282186022 0.234195700790673 0.52072396474936 0.306933035865193 0.327533128798883 0.245305605910319 0.491066736731477 0.522714956647399 0.246227581301234 0.185445545337371 0.112220014450867 0.374795214985626 0.188985228002569 0.509163418022136 0.207860928629012 0.129509992821792
U123 0.11945400885391 0.222344310114038 0.161319570372437 0.189805705853419 0.0800339847068819 0.333008826583593 0.12025747354088 0.134926714672387 0.409773971756762 0.255842222554987 0.32558531650448 0.153566866133262 0.103291951457665 0.144589703419588 0 0.168208978091007 0.233734723220704 0.128760976479503 0.240675640915716 0.0688544321721892 0.219086987778577 0.120432594630075 0.196261682242991 0.0897084336000896 0.117835829298502 0.292370725437164 0.15997318750422 0.266081871345029 0.330781917367954 0.241256819046814 0.49006186652626 0.230458793542906 0.187236926589142 0.185167753647549 0.233644859813084 0.193076802589673 0.489358457734934 0.346743689749062 0.497968609598931 0.172470231035628 0.232338032631079 0.152474904811353 0.0892406216645406 0.0663677696387977 0.168697503844789 0.0882205356582826 0.177336448598131 0.364013441142497 0.120194013959541 0.26433442788583 0.182660295506865 0.23306420394846 0.255583716141296 0.349313819114349 0.149238985313752 0.369399749494171 0.304433074470628 0.0794692068056554 0.0886906447654111 0.194307729174731 0.179929226023047 0.100054975261132 0.472500754941966 0.116030413432599 0.270632029146206 0.14805218839641 0.152783421373425 0.243080517613228 0.355618096856415 0.18440655193535 0.492906388846331 0.223889162157731 0.296379814897179 0.198252502350274 0.429481733220051 0.47059968847352 0.268441288238294 0.135034583274736 0.132228387850467 0.258533659853066 0.141095534787124 0.424617836702166 0.166047311350842 0.208367345805499
U125 0.245901639344262 0.313792534301641 0.232175189625642 0.299928098935864 0.174813710879285 0.469975713418336 0.150732819454999 0.241530054644809 0.520733732938543 0.386091067814156 0.435719114416089 0.0790954121948343 0.227330560313188 0.249976310054013 0.168208978091007 0 0.226796973518285 0.216570669029685 0.379816513761468 0.16958519622454 0.319230769230769 0.232830747299742 0.196598743680098 0.145459899872386 0.217440252814537 0.258800319413782 0.205885736520665 0.406135557472917 0.38509012684519 0.375921667532082 0.591272223504964 0.329185295578738 0.189901138781129 0.328623658450289 0.384403248046576 0.310774796226761 0.59492786287837 0.463198657544856 0.580120574291795 0.0822667887159858 0.307821617115866 0.154138838291844 0.169030549340153 0.135179441736819 0.256401743100228 0.127076686104082 0.209953161592506 0.462866089519248 0.242062668603445 0.341853123615419 0.217355491561962 0.361548161800369 0.359933314809669 0.490278744988801 0.257330210772834 0.466761027547744 0.442894753672003 0.17515762925599 0.155478280068444 0.347560384130372 0.28718764921216 0.202250080360013 0.558678202289921 0.176882467352042 0.280577938316199 0.283687713033598 0.205226894749347 0.234899117276166 0.416610779930452 0.248563407617925 0.537704918032787 0.203067778736459 0.451333985956996 0.341643224367058 0.478967958271237 0.308179644808743 0.389646212403131 0.187490749254334 0.160399590163934 0.259893048128342 0.240050091074681 0.294649891981192 0.301177214574111 0.204408599008406
U128 0.284412955465587 0.384428011092512 0.25947187141217 0.336875843454791 0.20541958041958 0.504451566951567 0.199503311258278 0.278320722992854 0.550457472043375 0.4206662799971 0.467089611419508 0.190370780298838 0.248421354764638 0.288072476656292 0.233734723220704 0.226796973518285 0 0.309970037911214 0.414431898376853 0.216200466200466 0.353846153846154 0.287207357859532 0.17667145938174 0.272109626900046 0.246061167747915 0.357174344280361 0.333670715249663 0.435784975258659 0.418552036199095 0.399321266968326 0.60590465872156 0.358974358974359 0.131092190252496 0.346845600442723 0.410316319194824 0.356037816931672 0.62157719702858 0.492307692307692 0.606039022705689 0.186108941819602 0.353324641460235 0.127136752136752 0.245339618598671 0.222453222453222 0.29649464459591 0.236964377903975 0.346291208791209 0.490060501296456 0.273855890944499 0.371101871101871 0.353400769985657 0.392011834319527 0.388852672750978 0.522818599311137 0.292307692307692 0.492466296590008 0.47542596112167 0.221153846153846 0.266284641284641 0.384122287968442 0.313480209111277 0.264819004524887 0.564065387801925 0.282920469361147 0.100880052151239 0.297981721249048 0.249303232998885 0.125 0.436480186480186 0.273906326231908 0.571626733921816 0.0648335582546109 0.48426679413342 0.374260355029586 0.506555944055944 0.289863782051282 0.420158992739638 0.254656424287067 0.222355769230769 0.101090086384204 0.272970085470085 0.257826475849732 0.323099748915773 0.376136934960464
U132 0.133992971299473 0.121424636144847 0.189912915549439 0.138844727080021 0.119142939731175 0.342942206912795 0.217569146864044 0.138175784270288 0.403237080044543 0.258513655863548 0.324922557487749 0.176656449085565 0.122653821512469 0.0792431329663564 0.128760976479503 0.216570669029685 0.309970037911214 0 0.246729190064322 0.118983957219251 0.229576861929803 0.0830643746244769 0.246021722657237 0.11746618051655 0.131170149596797 0.301606679998725 0.138816835411263 0.279595384858543 0.344258285434756 0.230157759569524 0.484863073512618 0.248253601194778 0.27678733965218 0.200306527433062 0.228028468270359 0.215081578456537 0.481764611077476 0.344951992288722 0.510685968202308 0.175752342369243 0.242448330683625 0.200533867200534 0.0717281266191639 0.123608903020668 0.181079068644221 0.131368636698285 0.0639251646604587 0.344643718404459 0.111539312954056 0.274642289348172 0.0732708116533088 0.217213384634199 0.263143003422166 0.358077534548123 0.165396320690438 0.363904004064707 0.311446878684697 0.103099139863846 0.0993506875859817 0.200932571973296 0.188648957352555 0.0602013778484367 0.48104525403614 0.117638076760709 0.360647786370618 0.146130113806293 0.101195824980991 0.292329093799682 0.376490461049285 0.195945105657828 0.506283718627017 0.279902193214887 0.309160023922073 0.21429713737406 0.451736161294985 0.463400900900901 0.2382075307439 0.150146042074907 0.104282591414944 0.347593582887701 0.15158540893835 0.478093688764003 0.161058247984413 0.0923543864720335
U133 0.170738773539353 0.251168763836704 0.226345337532521 0.159262835989055 0.25650542118432 0.134641522256201 0.313961966097576 0.162330174963654 0.201446873863315 0.0948992209184688 0.121086730350894 0.375849778892482 0.256949198959332 0.299146205653073 0.240675640915716 0.379816513761468 0.414431898376853 0.246729190064322 0 0.249513483458438 0.0878263937896965 0.254610168451413 0.254565720655063 0.294786573641707 0.221620426660772 0.523014642096685 0.187453252667557 0.097752025323247 0.124496658225746 0.0677072522728216 0.280527199896627 0.100430914651098 0.390503536662231 0.0857369150551119 0.140615622052645 0.123225360053303 0.281019720895457 0.147966481254063 0.290365427980107 0.405951660224468 0.123036852744519 0.325404915618983 0.250415271779408 0.289920654599554 0.184879804900708 0.314020072655625 0.231667758846658 0.140552520358726 0.21623504819417 0.0748512273741632 0.303918214475426 0.17024048640139 0.13434924584046 0.131716154583469 0.151245085190039 0.167478482928213 0.185059034529931 0.25085274053164 0.244462978407933 0.0934983623762735 0.166829963480894 0.242345745637705 0.274849311736582 0.34836469185715 0.442932669880268 0.183531655917885 0.314718787395293 0.330539872971066 0.260286349735891 0.164594526446457 0.291382162731238 0.446483180428135 0.10839259047084 0.0746973562781608 0.302543786488741 0.684824159021407 0.107915995308715 0.232620891326447 0.292287844036697 0.468135210714811 0.166985219164118 0.617025816087049 0.113222443034873 0.242680447213637
U135 0.103907496012759 0.2155621659925 0.137211668928087 0.187998405103668 0.0643939393939395 0.335016835016835 0.143638370459563 0.109910581222057 0.379648912027767 0.255854968154685 0.304279912527335 0.152877697841727 0.110018091361375 0.144377299001576 0.0688544321721892 0.16958519622454 0.216200466200466 0.118983957219251 0.249513483458438 0 0.192832167832168 0.116866828823351 0.176578872840555 0.0944928325167846 0.100127783862724 0.34075714161674 0.14420911905432 0.266081871345029 0.300253667900727 0.239459070341423 0.458173282116944 0.212121212121212 0.17470506592644 0.200866579463702 0.250460209572359 0.21715760961571 0.450468324122457 0.317424242424242 0.466096146651702 0.220966005229965 0.199858757062147 0.150953984287318 0.0613551954081202 0.0980753480753481 0.163885692366705 0.130338621110433 0.158279220779221 0.317713653387811 0.113971998465669 0.231981981981982 0.167488179141761 0.238905325443787 0.251476630713919 0.354651567338135 0.147943722943723 0.336574507966261 0.307118650746739 0.0652680652680652 0.0664983164983164 0.206024744486283 0.153059723448073 0.0811497326203208 0.447465541914589 0.153312788906009 0.275808936825886 0.15016501650165 0.135924462011419 0.216491841491841 0.357954545454545 0.179087385482734 0.459153005464481 0.223750664540138 0.311025149953613 0.214788416711494 0.435606060606061 0.448863636363636 0.267029615147895 0.137550263234258 0.104876893939394 0.241978609625668 0.121843434343434 0.408298097251586 0.17549006384318 0.187908496732026
