U1 U10 U100 U105 U106 U11 U110 U115 U12 U122 U124 U125 U127 U129 U13 U130 U132 U134 U138 U14 U140 U15 U152 U155 U16 U160 U163 U164 U17 U179 U18 U182 U19 U198 U2 U20 U22 U23 U24 U25 U26 U27 U29 U3 U30 U31 U32 U33 U35 U36 U37 U4 U41 U43 U46 U5 U50 U53 U54 U55 U56 U58 U6 U60 U69 U7 U72 U74 U76 U78 U79 U8 U85 U87 U89 U9 U91 U95 U96 U98
U124 0.963320179548718 0.980329219586961 0.961323261837966 0.835453106494492 0.57530773737693 0.995626025150355 0.58541445165116 0.508967073925706 0.829471859600526 0.674389700867467 0 0.498496446145435 0.662763338842871 0.931392381993803 0.981909446857955 0.484263798466352 0.634871693750056 0.86095055846286 0.629910784541179 0.908120411899245 0.980863860032805 0.979241558090489 0.846258201202843 0.623511688189088 0.980862063493299 0.981957353745216 0.981957353745216 0.956748089607576 0.963230357379848 0.265189538910151 0.470405284856667 0.507184243079249 0.428139932768709 0.980504798125668 0.597685962171073 0.226820841524842 0.403116685208406 0.918333642102219 0.447097675290817 0.843928407633966 0.323100054674686 0.353927464917077 0.620783780117324 0.98171569110626 0.389339727831998 0.772605040823427 0.758697371435068 0.637512909300772 0.587556233393763 0.42901777801079 0.950649299650505 0.97756438249921 0.287704028190935 0.654228687623248 0.577783628534997 0.909685899399929 0.925291317117524 0.976183672825317 0.453526517222526 0.981957353745216 0.600695933544851 0.38956710611376 0.969369423349066 0.91780763850621 0.930958021991374 0.646082545027061 0.838189454115159 0.901238935523179 0.819799918437464 0.821565833225375 0.436159567554185 0.486795146324054 0.879548693641037 0.627058941824878 0.656558490476939 0.980662016957651 0.724974113521752 0.59615574218645 0.97220125618424 0.579242421618519
U125 0.867844334018649 0.874847690675518 0.788273400317293 0.72842800714756 0.473042653246432 0.991935483870968 0.437376563528637 0.476685075938245 0.820546163849155 0.302377785167941 0.498496446145435 0 0.606088609951334 0.451075268817204 0.929866376538502 0.25893421884883 0.610034373347435 0.753397641177849 0.36289126064899 0.730340812185727 0.794354838709677 0.859448695849828 0.721572580645161 0.528225806451613 0.844981097410168 0.842700873792786 0.840062784152414 0.780886825241664 0.848661441735043 0.52489247311828 0.561671178818887 0.407183719146672 0.474491636727385 0.948133471750983 0.561082914450246 0.532035003431709 0.299733052178204 0.732371367635297 0.353326987091985 0.677976411530433 0.528225806451613 0.298159285584108 0.498150618481688 0.809033895134006 0.316198882397765 0.628541504578371 0.652707901746079 0.513351254480287 0.502617430673458 0.480280600972161 0.859561575476742 0.938382459033289 0.574271461189685 0.475715839072128 0.275284880095243 0.760932607812363 0.772526291360799 0.846270947612098 0.348908918406072 0.857938425974572 0.473511345618313 0.221933522894401 0.84274939986385 0.744330465007842 0.774193548387097 0.550077742354728 0.663530959917488 0.48550495467004 0.785970876127103 0.722049488275683 0.299756542909312 0.43508956735972 0.498937103522743 0.386216166110493 0.528225806451613 0.892591509276283 0.550099116958011 0.462453728186145 0.918115656963021 0.536381550138666
U127 0.850284243336684 0.864567961916962 0.501390334220805 0.723504358756811 0.43217973235389 0.98845836768343 0.849663148736117 0.319098225770752 0.8206099505037 0.891808883147347 0.662763338842871 0.606088609951334 0 0.982508931025007 0.91442593201987 0.591177278825793 0.455775546335464 0.64978571528378 0.832673240683887 0.578051660039634 0.736603462489695 0.847796599667238 0.343425391591096 0.347218680125973 0.843657926316673 0.837277927677586 0.83676834295136 0.713781119799257 0.837605275290301 0.634550700741962 0.804813665142558 0.43495941788637 0.286008861471042 0.931741559582803 0.352907670683081 0.453933451439196 0.422032638993197 0.694644110292765 0.734569385970227 0.598105511059067 0.682179170101676 0.695013064680649 0.271962883300585 0.836043355034492 0.746973404911361 0.423004189309689 0.323864051773473 0.500174040487313 0.863886839935783 0.761766554864162 0.99365073581322 0.922720514448111 0.874991461448752 0.398566095760349 0.785697416824472 0.391659100992235 0.647278333015455 0.830356396448768 0.499175597691674 0.847153932291597 0.261067881919437 0.527226575322557 0.828324857850883 0.551331772638293 0.651230546026174 0.193016655144041 0.335330410810487 0.966495859129582 0.882583669440552 0.337743940863757 0.433137861842617 0.523087089483251 0.999175597691674 0.720439965507766 0.498257184593801 0.887589755199501 0.552992027707287 0.41659346154366 0.90759455492329 0.421293826681538
U129 0.971183245958213 0.982682079670032 0.981284153005465 0.983333333333333 0.850341005967605 1 0.489795918367347 0.911348897535668 0.957325530992631 0.543900343642612 0.931392381993803 0.451075268817204 0.982508931025007 0 0.983333333333333 0.595378151260504 0.940710382513661 0.980306698950767 0.678709198813056 0.939213005165603 0.983333333333333 0.98201213544725 0.983333333333333 0.954736211031175 0.982238043081417 0.983333333333333 0.983333333333333 0.97996632996633 0.975733869766056 0.965 0.983333333333333 0.597113051916545 0.896459147039097 0.982810047095761 0.977281896116994 0.979078014184397 0.650231803430691 0.937878787878788 0.732405345211581 0.983333333333333 0.955 0.700847457627119 0.923182957393484 0.983091670694377 0.75498687664042 0.958101422387137 0.983333333333333 0.790740740740741 0.89780701754386 0.894292237442922 0.986187845303867 0.980937167199148 0.982326959633233 0.848501872659176 0.449912126537786 0.982592409648473 0.979546888804746 0.983333333333333 0.483333333333333 0.983333333333333 0.818525402726146 0.563880445795339 0.974817968653585 0.954424003504161 0.97258064516129 0.956718652879019 0.903950753399485 0.78937908496732 0.838565022421525 0.973962516733601 0.558805031446541 0.501070663811563 0.874790794979079 0.745689655172414 0.887955465587045 0.983333333333333 0.754283054003724 0.819398907103825 0.983333333333333 0.965233785822021
U13 0.179467705216963 0.400607353671348 0.827813751643524 0.315316192044074 0.602444666564697 0.646893052668865 0.858007896184502 0.931343792448439 0.792627867173318 0.963359524731275 0.981909446857955 0.929866376538502 0.91442593201987 0.983333333333333 0 0.964253573473896 0.991803278688525 0.592811736325562 0.930917074902085 0.703591241591579 0.476751479451308 0.326666126291082 0.847441469633751 0.771767009202096 0.204320125361733 0.68342827359792 0.959790661277626 0.731857284013056 0.297762853381066 0.950452016689847 0.966640749526336 0.534245160976854 0.827954774928444 0.213872689334641 0.61730074198139 0.967431124789157 0.888966156699119 0.949244627332881 0.89254129869808 0.431354068835773 1 0.953120702796571 0.932119938232229 0.98553463685511 0.960629921259842 0.546305552186736 0.609579223607372 0.46755267089064 0.981992533489496 0.971570738151034 0.994475138121547 0.170100764136677 0.992552119224568 0.890531480989514 0.885216155680651 0.834340753676595 0.687389419406573 0.487327476409209 0.613185524557528 0.935425755701836 0.731678480886127 0.750013739109114 0.731784807460689 0.810164260601885 0.713052277904896 0.822490677761166 0.997331321473789 0.967320261437909 0.93423019431988 0.781058401431409 0.739256129669964 0.763857328214796 1 0.911750835291673 0.627998194373277 0.259185661336389 0.466599586120802 0.624379640818684 0.232142655223492 0.893850810892454
U130 0.901616012556231 0.888543499457745 0.779021444643431 0.739124221117018 0.478504445256363 0.99859943977591 0.372177442405534 0.451198378183958 0.8204459937421 0.31511522134627 0.484263798466352 0.25893421884883 0.591177278825793 0.595378151260504 0.964253573473896 0 0.561064425770308 0.720303375587523 0.254162199004231 0.77747102487303 0.865546218487395 0.891807750698635 0.637132352941177 0.487243818390666 0.890882092157783 0.884010223233896 0.881516364935236 0.835243188184365 0.8690898800289 0.49375350140056 0.547575217853856 0.443749260985326 0.430524322405018 0.967710160987472 0.554104001661179 0.495691042374397 0.235475274950036 0.796629395559877 0.1939666735291 0.677706572903079 0.370616246498599 0.291743816170536 0.413312693498452 0.878343507533511 0.279185690024041 0.596660482374768 0.571171587901216 0.540802987861811 0.317853457172343 0.438548021948505 0.851881083925283 0.958055906068498 0.568350721704314 0.477905769049193 0.277010628504477 0.693746009147052 0.767819357959011 0.874517669782422 0.359103641456583 0.889843885436911 0.385426537405545 0.243190893378628 0.874144548600632 0.761216444527877 0.787867835306165 0.533718386490043 0.630404973455755 0.705415499533147 0.773373026340581 0.629577132057642 0.253316420907986 0.378802056154368 0.425770308123249 0.163962136578769 0.545481350434911 0.93260257470864 0.616966339608469 0.445538871286219 0.945617271298763 0.533828916181857
U132 0.974625000472955 0.99017514453027 0.938114754098361 0.822707068775988 0.585153662320238 0.991803278688525 0.802131625483917 0.469662562990368 0.840958025112452 0.851487240155484 0.634871693750056 0.610034373347435 0.455775546335464 0.940710382513661 0.991803278688525 0.561064425770308 0 0.850762116460922 0.784336235832077 0.895176113693082 0.991803278688525 0.98996828162452 0.785348360655738 0.614105436961906 0.990707988436608 0.991803278688524 0.991803278688525 0.964867251752498 0.973922187941989 0.613333333333333 0.758134925261759 0.514365141861741 0.394454480014125 0.989710133738237 0.592710994270975 0.453470526682944 0.377997674365581 0.925687576209186 0.723311061618411 0.810390540092022 0.669672131147541 0.65668241178105 0.556082830025884 0.991561616049569 0.753349683748548 0.732205967334773 0.505755251416253 0.64735883424408 0.814322691975841 0.728886892731492 0.965999456570963 0.988608390509611 0.879537068097954 0.604162829250322 0.738165893572272 0.802724412828102 0.894113009850963 0.987123091481036 0.457377049180328 0.991803278688525 0.536089273501669 0.479695052070357 0.979215348292375 0.897593761444174 0.914742346788883 0.582227422078578 0.615838559835162 0.923057966355941 0.839145776666912 0.641282068163364 0.389699969068976 0.485257602883186 0.955737704918033 0.677002072734125 0.64969801553063 0.991803278688525 0.734820038465061 0.560655737704918 0.982047181127549 0.589088346561828
U134 0.529437320037551 0.510281884031118 0.415447743420791 0.494169096209913 0.403017655109207 0.825101341241124 0.84767999209369 0.71351551238447 0.813528622751474 0.924203090287312 0.86095055846286 0.753397641177849 0.64978571528378 0.980306698950767 0.592811736325562 0.720303375587523 0.850762116460922 0 0.836130650016885 0.248033487764341 0.272278402886578 0.481982017206496 0.588362590799032 0.351603462992318 0.470919778608159 0.349765512888161 0.417043133941098 0.315348806874231 0.492259013877328 0.79320419693301 0.810023799765102 0.449546107639513 0.456662708052904 0.620036541344047 0.313762807104944 0.817616300036062 0.514175930384884 0.372641226262182 0.828610705163119 0.22949121783405 0.890112994350283 0.759483454398709 0.671657958455461 0.507536012414321 0.854635755276353 0.234396717084368 0.395432096022984 0.293238274594207 0.864789091372499 0.811436531891605 0.99144850373898 0.611302787211164 0.979930601639276 0.36558342628615 0.792501606403486 0.584488024125767 0.185239192359633 0.453080084462458 0.502250391682097 0.416060682540559 0.474051204502972 0.552006594199165 0.447956231796492 0.49266607910453 0.170342020533382 0.471098643140155 0.772917662196903 0.963688300178829 0.903012881066389 0.357612856591823 0.538204120791265 0.523134634029999 0.99636803874092 0.732000222648966 0.291239833612715 0.5589488012646 0.236591502428071 0.324236891199936 0.591014586901317 0.356581354836589
U138 0.892580017382076 0.907943265563658 0.862157659191516 0.798894377589951 0.495427534967025 0.982195845697329 0.499796696974678 0.58303409576372 0.818879194915745 0.265666585089786 0.629910784541179 0.36289126064899 0.832673240683887 0.678709198813056 0.930917074902085 0.254162199004231 0.784336235832077 0.836130650016885 0 0.806587699390569 0.884272997032641 0.899067756150344 0.821012611275964 0.526812970988195 0.899886570831478 0.898003831579711 0.902077151335312 0.858935547362847 0.883433328602184 0.61419881305638 0.662333112434627 0.428765385706285 0.582961550064921 0.931252300052639 0.728092046490121 0.613788749289728 0.414309769173308 0.819322166907816 0.210312398802482 0.795797635301088 0.397774480712166 0.483377759895388 0.5653265210504 0.897901479090086 0.353840042991659 0.728075400648525 0.778600531765261 0.595274205956699 0.226170024467697 0.528156037017465 0.947612177648081 0.92342933798504 0.770840446467589 0.557796819257827 0.419894343243652 0.8328473235506 0.826888699878766 0.885069230662402 0.360638854948508 0.902077151335312 0.573680836694747 0.309367474497849 0.887267821457489 0.818527082512858 0.829009923103921 0.746497461639544 0.73943185052624 0.814181261030624 0.8101644245142 0.82771441850488 0.405800347125021 0.478229835831549 0.255726754652794 0.11952999761247 0.594485958104574 0.919927430390062 0.627289756809177 0.574500170258306 0.912643844539336 0.731756112625374
U14 0.639830659290895 0.606695326972974 0.246210230584157 0.592505401691866 0.362164657389253 0.877227986439011 0.806644678968084 0.586057127858432 0.79487691339307 0.873505060662162 0.908120411899245 0.730340812185727 0.578051660039634 0.939213005165603 0.703591241591579 0.77747102487303 0.895176113693082 0.248033487764341 0.806587699390569 0 0.389904731263517 0.567926472721472 0.540576572470374 0.296665857833332 0.577957208797068 0.538101506237155 0.533306822144592 0.253938964239785 0.595769011189537 0.84723032512914 0.766654434504552 0.401486034206475 0.520017698555535 0.723092187579751 0.315327871226299 0.880447642506643 0.546845930803823 0.306417954300609 0.804591045701343 0.308522467171104 0.935278030993619 0.793299651334662 0.549539756410169 0.467330427507156 0.887886074404783 0.181188026714788 0.432025624513895 0.297363179040481 0.834046602376497 0.85465674338066 0.951813333199031 0.714823538491558 0.927774048768912 0.317472575870863 0.756665005855561 0.455378495832614 0.289383078769437 0.532072579165701 0.505319320070781 0.548818067634859 0.454840413775394 0.540814822408725 0.529079779696031 0.247578331538529 0.257154899481479 0.474350060310785 0.740489799282196 0.922652987053223 0.856056400592457 0.331310535365406 0.598708312550524 0.493490845515347 0.955332725615315 0.72108886304341 0.257911221500916 0.668283968052295 0.306197705270341 0.360223859407923 0.692376103341708 0.333435077979021
