Param1 Param2 Cluster distribution k Trace stats.attr Size Fraction
24.5878424815622 2.69072308023773 1 gamma 12 gwa-t1 bot_user_iat 42 0.241379310344828
31.1615428320162 3.010762058259 2 gamma 12 gwa-t1 bot_user_iat 4 0.0229885057471264
18.0903369541545 1.88518552283391 3 gamma 12 gwa-t1 bot_user_iat 41 0.235632183908046
19.319721447685 1.94109633084986 4 gamma 12 gwa-t1 bot_user_iat 30 0.172413793103448
13.8399060120172 1.29219059795545 5 gamma 12 gwa-t1 bot_user_iat 13 0.0747126436781609
24.1537104988686 2.6927464954584 6 gamma 12 gwa-t1 bot_user_iat 34 0.195402298850575
13.4506490977536 1.1002169004808 7 gamma 12 gwa-t1 bot_user_iat 4 0.0229885057471264
23.234399245481 1.55740358627601 8 gamma 12 gwa-t1 bot_user_iat 1 0.00574712643678161
15.9915354598193 12.1145875311044 9 weibull 12 gwa-t1 bot_user_iat 1 0.00574712643678161
0.102892237715861 NA 10 exponential 13 gwa-t1 bot_user_iat 2 0.0114942528735632
0.120480733809514 NA 12 exponential 13 gwa-t1 bot_user_iat 1 0.00574712643678161
0.0865451401270934 NA 13 exponential 13 gwa-t1 bot_user_iat 1 0.00574712643678161
24.5878424815622 2.69072308023773 1 gamma 13 gwa-t1 bot_user_iat 42 0.241379310344828
35.8045255882187 3.47602845979059 2 gamma 13 gwa-t1 bot_user_iat 1 0.00574712643678161
18.0903369541545 1.88518552283391 3 gamma 13 gwa-t1 bot_user_iat 41 0.235632183908046
19.319721447685 1.94109633084986 4 gamma 13 gwa-t1 bot_user_iat 30 0.172413793103448
13.8399060120172 1.29219059795545 5 gamma 13 gwa-t1 bot_user_iat 13 0.0747126436781609
24.1537104988686 2.6927464954584 6 gamma 13 gwa-t1 bot_user_iat 34 0.195402298850575
13.4506490977536 1.1002169004808 7 gamma 13 gwa-t1 bot_user_iat 4 0.0229885057471264
23.234399245481 1.55740358627601 8 gamma 13 gwa-t1 bot_user_iat 1 0.00574712643678161
